,activeDuration,activity_type,activity_id,avg_hr,calorie_burn,duration,original_duration,start_time,steps,total_minutes_for_activity,logId
0,921000,Sport,15000,91,41,921000,921000,2023-03-24T18:35:44.000-04:00,231,0,54655710797
1,1229000,Sport,15000,113,106,1229000,1229000,2023-04-02T19:12:13.000-04:00,1674,7,54851970100
2,3482000,Walk,90013,117,344,3482000,3482000,2023-04-15T11:28:43.000-04:00,5325,30,55124576266
3,973000,Walk,90013,113,88,973000,973000,2023-05-05T20:17:14.000-05:00,1283,6,55592808773
4,921000,Walk,90013,115,86,921000,921000,2023-05-09T08:58:25.000-04:00,1435,8,55675716016
5,973000,Walk,90013,112,86,973000,973000,2023-05-15T14:57:29.000-05:00,1351,7,55842154404
6,1229000,Walk,90013,104,93,1229000,1229000,2023-05-16T08:21:15.000-05:00,1579,1,55857291512
7,2918000,Aerobic Workout,3001,131,320,2918000,2918000,2023-05-23T19:54:03.000-04:00,3948,50,56036220877
8,922000,Sport,15000,114,70,922000,922000,2023-05-28T19:20:29.000-04:00,746,4,56152054605
9,1331000,Walk,90013,101,112,1331000,1331000,2023-06-13T14:47:51.000-04:00,1719,1,56506834191
10,972000,Walk,90013,102,75,972000,972000,2023-06-29T11:51:15.000-05:00,1157,0,56953526757
11,1024000,Walk,90013,100,72,1024000,1024000,2023-07-26T10:48:40.000-04:00,1161,0,57468894445
12,1024000,Walk,90013,104,86,1024000,1024000,2023-07-26T11:33:53.000-04:00,1241,0,57469906532
13,973000,Elliptical,20047,117,101,973000,973000,2023-08-09T09:01:55.000-05:00,1724,8,57764003378
14,1229000,Walk,90013,124,129,1229000,1229000,2023-08-10T11:38:31.000-05:00,2028,11,57797492866
15,1331000,Walk,90013,122,138,1331000,1331000,2023-08-11T09:06:13.000-05:00,2243,16,57813818940
16,1332000,Walk,90013,110,127,1332000,1332000,2023-08-21T08:20:23.000-05:00,2238,3,58040851310
17,1229000,Walk,90013,118,123,1229000,1229000,2023-08-23T10:28:26.000-05:00,2062,11,58087797862
18,1280000,Walk,90013,118,129,1280000,1280000,2023-08-25T09:01:25.000-05:00,2181,11,58128772580
19,2304000,Walk,90013,121,239,2304000,2304000,2023-08-28T08:16:30.000-05:00,4066,27,58187272906
20,1228000,Walk,90013,120,119,1228000,1228000,2023-08-30T08:20:03.000-05:00,2089,13,58250100380
21,1382000,Walk,90013,118,137,1382000,1382000,2023-08-31T09:03:09.000-05:00,2356,15,58258245584
22,1280000,Walk,90013,117,125,1280000,1280000,2023-09-01T09:00:10.000-05:00,2196,8,58279167874
23,1127000,Walk,90013,109,100,1127000,1127000,2023-09-03T12:03:39.000-05:00,1449,1,58322392226
24,1280000,Walk,90013,111,126,1280000,1280000,2023-09-06T08:59:54.000-05:00,2183,6,58386657051
25,1997000,Walk,90013,116,192,1997000,1997000,2023-09-07T08:44:07.000-05:00,3360,18,58408015391
26,1383000,Walk,90013,126,158,1383000,1383000,2023-09-18T09:45:00.000-05:00,2468,21,58652856333
27,1188000,Run,90009,150,174,1203000,1203000,2023-09-19T09:49:24.000-05:00,2413,33,58664212329
28,1229000,Walk,90013,117,127,1229000,1229000,2023-09-20T10:44:45.000-05:00,2114,13,58710612061
29,904000,Run,90009,156,138,1052000,1052000,2023-10-07T08:07:11.000-05:00,2158,28,59045208079
30,1434000,Aerobic Workout,3001,115,125,1434000,1434000,2023-10-07T20:13:04.000-05:00,1690,8,59090987107
31,997000,Run,90009,153,148,1126000,1126000,2023-10-14T10:13:13.000-05:00,2288,27,59200087607
32,1024000,Run,90009,158,162,1024000,1024000,2023-10-18T07:57:18.000-05:00,2217,33,59304311491
33,973000,Run,90009,156,150,973000,973000,2023-10-21T10:21:07.000-05:00,2181,30,59376717696
34,973000,Run,90009,157,151,973000,973000,2023-10-24T11:38:31.000-05:00,2117,31,59439521153
35,1280000,Walk,90013,108,110,1280000,1280000,2023-10-28T10:27:09.000-04:00,1821,2,59516435773
36,1229000,Run,90009,160,199,1229000,1229000,2023-11-02T20:02:50.000-05:00,2913,41,59633342288
37,918000,Run,90009,161,156,931000,931000,2023-11-03T13:44:51.000-05:00,2377,31,59636001884
38,922000,Run,90009,158,142,922000,922000,2023-11-04T12:20:20.000-05:00,2115,28,59663192568
39,922000,Run,90009,151,131,922000,922000,2023-11-10T11:28:10.000-06:00,1913,29,59789364356
40,948000,Run,90009,163,161,952000,952000,2023-11-12T11:57:18.000-06:00,2530,31,59810065923
41,923000,Run,90009,164,158,929000,929000,2023-11-14T09:18:57.000-06:00,2457,30,59808142645
42,893000,Run,90009,166,157,897000,897000,2023-11-15T08:59:27.000-06:00,2419,28,59871122072
43,898000,Run,90009,165,149,906000,906000,2023-11-18T12:15:59.000-06:00,2366,30,59935801196
44,1382000,Walk,90013,106,124,1382000,1382000,2023-11-18T19:39:01.000-06:00,2156,0,59961983463
45,973000,Run,90009,158,161,973000,973000,2023-11-21T09:31:58.000-06:00,2308,31,60010433648
46,1027000,Run,90009,171,183,1163000,1163000,2023-11-22T08:38:37.000-06:00,2648,36,59995659209
47,1280000,Walk,90013,100,111,1280000,1280000,2023-11-25T09:42:14.000-06:00,1988,0,60078081822
48,924000,Run,90009,167,160,939000,939000,2023-11-28T09:19:18.000-06:00,2515,30,60078233809
49,904000,Run,90009,163,154,912000,912000,2023-11-29T13:30:49.000-06:00,2455,29,60154638241
50,972000,Run,90009,164,167,972000,972000,2023-12-02T12:24:56.000-06:00,2381,31,60219098861
51,908000,Run,90009,161,154,971000,971000,2023-12-05T10:01:16.000-06:00,2462,30,60222914344
52,932000,Run,90009,162,160,941000,941000,2023-12-07T09:38:55.000-06:00,2542,30,60297116031
53,901000,Run,90009,162,153,913000,913000,2023-12-09T11:22:07.000-06:00,2453,28,60307060875
54,912000,Run,90009,173,162,916000,916000,2023-12-12T10:20:36.000-06:00,2526,28,60384227137
55,885000,Run,90009,167,158,910000,910000,2023-12-14T10:25:14.000-06:00,2450,30,60390628698
56,933000,Run,90009,166,157,1157000,1157000,2023-12-16T09:17:18.000-06:00,2550,32,60464279925
57,973000,Walk,90013,100,73,973000,973000,2023-12-17T12:03:32.000-06:00,1080,5,60491676687
58,903000,Run,90009,171,159,907000,907000,2023-12-19T12:54:34.000-06:00,2521,29,60502472739
59,1383000,Walk,90013,110,130,1383000,1383000,2023-12-20T13:28:33.000-06:00,2280,5,60554484801
60,937000,Run,90009,175,178,945000,945000,2023-12-21T08:52:28.000-06:00,2589,30,60541302376
61,973000,Run,90009,165,162,973000,973000,2023-12-29T11:56:34.000-06:00,2232,31,60683448257
62,922000,Sport,15000,98,55,922000,922000,2024-01-01T14:40:06.000-06:00,481,0,60730473761
63,973000,Run,90009,161,160,973000,973000,2024-01-03T08:55:24.000-06:00,2352,31,60755613910
64,919000,Run,90009,162,152,934000,934000,2024-01-05T15:35:18.000-06:00,2506,29,60789532986
65,2099000,Walk,90013,108,201,2099000,2099000,2024-01-06T16:15:21.000-06:00,3622,6,60818714193
66,973000,Run,90009,166,163,973000,973000,2024-01-09T08:33:17.000-06:00,2323,31,60866989537
67,884000,Run,90009,167,157,889000,889000,2024-01-10T12:31:36.000-06:00,2431,28,60834895211
68,973000,Run,90009,165,157,973000,973000,2024-01-13T10:13:19.000-06:00,2291,31,60939575917
69,973000,Run,90009,163,157,973000,973000,2024-01-16T12:01:21.000-06:00,2209,30,61002757922
70,974000,Run,90009,164,159,974000,974000,2024-01-17T11:58:22.000-06:00,2259,31,61031141854
71,973000,Run,90009,163,161,973000,973000,2024-01-20T09:31:19.000-06:00,2312,30,61082671951
72,972000,Run,90009,165,168,1025000,1025000,2024-01-23T09:33:58.000-06:00,2546,32,61094423599
73,964000,Run,90009,167,166,987000,987000,2024-01-25T11:30:27.000-06:00,2544,30,61183950290
74,1535000,Walk,90013,115,152,1535000,1535000,2024-01-28T16:20:09.000-06:00,2565,15,61244276688
75,2048000,Aerobic Workout,3001,91,110,2048000,2048000,2024-01-30T23:15:01.000-06:00,1058,2,61299774096
76,1075000,Sport,15000,102,75,1075000,1075000,2024-01-31T07:57:15.000-06:00,671,1,61304988607
77,1126000,Sport,15000,112,90,1126000,1126000,2024-01-31T08:37:22.000-06:00,881,7,61305707328
78,2765000,Sport,15000,98,161,2765000,2765000,2024-02-01T11:36:09.000-06:00,1364,0,61327435156
79,963000,Run,90009,169,168,972000,972000,2024-02-06T09:47:46.000-06:00,2644,30,61387410602
80,875000,Run,90009,170,151,962000,962000,2024-02-07T12:07:11.000-06:00,2423,32,61433490440
81,903000,Run,90009,167,160,909000,909000,2024-02-08T09:56:05.000-06:00,2494,29,61453215345
82,1075000,Walk,90013,108,100,1075000,1075000,2024-02-10T18:23:53.000-06:00,1823,2,61507659691
83,1280000,Walk,90013,107,124,1280000,1280000,2024-02-11T17:45:54.000-06:00,2263,0,61525969740
84,942000,Run,90009,164,155,945000,945000,2024-02-13T09:54:09.000-06:00,2540,28,61533627190
85,904000,Run,90009,168,154,919000,919000,2024-02-14T07:21:45.000-06:00,2484,28,61531170119
