,activity_type,minutes,log_Id
0,sedentary,0,61082671951
1,lightly,0,61082671951
2,fairly,0,61082671951
3,very,16,61082671951
4,sedentary,0,61094423599
5,lightly,0,61094423599
6,fairly,0,61094423599
7,very,17,61094423599
8,sedentary,0,61183950290
9,lightly,0,61183950290
10,fairly,0,61183950290
11,very,16,61183950290
12,sedentary,0,61244276688
13,lightly,0,61244276688
14,fairly,4,61244276688
15,very,21,61244276688
16,sedentary,5,61299774096
17,lightly,29,61299774096
18,fairly,0,61299774096
19,very,0,61299774096
20,sedentary,0,61304988607
21,lightly,18,61304988607
22,fairly,0,61304988607
23,very,0,61304988607
24,sedentary,0,61305707328
25,lightly,1,61305707328
26,fairly,18,61305707328
27,very,0,61305707328
28,sedentary,3,61327435156
29,lightly,43,61327435156
30,fairly,0,61327435156
31,very,0,61327435156
32,sedentary,0,61387410602
33,lightly,0,61387410602
34,fairly,0,61387410602
35,very,16,61387410602
36,sedentary,0,61433490440
37,lightly,0,61433490440
38,fairly,0,61433490440
39,very,14,61433490440
40,sedentary,0,61453215345
41,lightly,0,61453215345
42,fairly,0,61453215345
43,very,15,61453215345
44,sedentary,0,61507659691
45,lightly,1,61507659691
46,fairly,6,61507659691
47,very,11,61507659691
48,sedentary,0,61525969740
49,lightly,1,61525969740
50,fairly,6,61525969740
51,very,15,61525969740
52,sedentary,0,61533627190
53,lightly,0,61533627190
54,fairly,0,61533627190
55,very,15,61533627190
56,sedentary,0,61531170119
57,lightly,0,61531170119
58,fairly,0,61531170119
59,very,15,61531170119
