,caloriesOut,max,min,minutes,name,log_Id
0,40.69807,119,30,15,Out of Range,54655710797
1,0.0,144,119,0,Fat Burn,54655710797
2,0.0,175,144,0,Cardio,54655710797
3,0.0,220,175,0,Peak,54655710797
4,65.63892999999999,116,30,13,Out of Range,54851970100
5,40.40806,142,116,7,Fat Burn,54851970100
6,0.0,174,142,0,Cardio,54851970100
7,0.0,220,174,0,Peak,54851970100
8,161.34223,116,30,28,Out of Range,55124576266
9,182.89964,142,116,30,Fat Burn,55124576266
10,0.0,174,142,0,Cardio,55124576266
11,0.0,220,174,0,Peak,55124576266
12,51.911789999999996,116,30,10,Out of Range,55592808773
13,36.34792,142,116,6,Fat Burn,55592808773
14,0.0,174,142,0,Cardio,55592808773
15,0.0,220,174,0,Peak,55592808773
16,38.668000000000006,116,30,7,Out of Range,55675716016
17,47.17496,142,116,8,Fat Burn,55675716016
18,0.0,174,142,0,Cardio,55675716016
19,0.0,220,174,0,Peak,55675716016
20,49.495039999999996,117,30,9,Out of Range,55842154404
21,36.92794,142,117,7,Fat Burn,55842154404
22,0.0,174,142,0,Cardio,55842154404
23,0.0,220,174,0,Peak,55842154404
24,87.67969,118,30,19,Out of Range,55857291512
25,5.8002,143,118,1,Fat Burn,55857291512
26,0.0,175,143,0,Cardio,55857291512
27,0.0,220,175,0,Peak,55857291512
28,47.46497000000005,118,30,8,Out of Range,56036220877
29,190.9232499999999,143,118,30,Fat Burn,56036220877
30,81.68615,175,143,10,Cardio,56036220877
31,0.0,220,175,0,Peak,56036220877
32,50.65508,118,30,11,Out of Range,56152054605
33,19.334,143,118,4,Fat Burn,56152054605
34,0.0,175,143,0,Cardio,56152054605
35,0.0,220,175,0,Peak,56152054605
36,106.82035,114,30,21,Out of Range,56506834191
37,5.22018,140,114,1,Fat Burn,56506834191
38,0.0,174,140,0,Cardio,56506834191
39,0.0,220,174,0,Peak,56506834191
40,75.30593,116,30,16,Out of Range,56953526757
41,0.0,142,116,0,Fat Burn,56953526757
42,0.0,174,142,0,Cardio,56953526757
43,0.0,220,174,0,Peak,56953526757
44,71.72914,117,30,17,Out of Range,57468894445
45,0.0,143,117,0,Fat Burn,57468894445
46,0.0,174,143,0,Cardio,57468894445
47,0.0,220,174,0,Peak,57468894445
48,85.84296,117,30,17,Out of Range,57469906532
49,0.0,143,117,0,Fat Burn,57469906532
50,0.0,174,143,0,Cardio,57469906532
51,0.0,220,174,0,Peak,57469906532
52,52.39513999999999,118,30,8,Out of Range,57764003378
53,48.14166000000001,143,118,8,Fat Burn,57764003378
54,0.0,175,143,0,Cardio,57764003378
55,0.0,220,175,0,Peak,57764003378
56,51.81512000000001,117,30,9,Out of Range,57797492866
57,77.33599999999998,143,117,11,Fat Burn,57797492866
58,0.0,174,143,0,Cardio,57797492866
59,0.0,220,174,0,Peak,57797492866
60,35.38122,117,30,6,Out of Range,57813818940
61,102.66354,142,117,16,Fat Burn,57813818940
62,0.0,174,142,0,Cardio,57813818940
63,0.0,220,174,0,Peak,57813818940
64,109.62378,115,30,19,Out of Range,58040851310
65,17.20726,141,115,3,Fat Burn,58040851310
66,0.0,174,141,0,Cardio,58040851310
67,0.0,220,174,0,Peak,58040851310
68,52.201800000000006,116,30,9,Out of Range,58087797862
69,70.95577999999999,142,116,11,Fat Burn,58087797862
70,0.0,174,142,0,Cardio,58087797862
71,0.0,220,174,0,Peak,58087797862
72,58.00199999999998,116,30,10,Out of Range,58128772580
73,71.14912000000001,142,116,11,Fat Burn,58128772580
74,0.0,174,142,0,Cardio,58128772580
75,0.0,220,174,0,Peak,58128772580
76,65.92894000000001,116,30,11,Out of Range,58187272906
77,173.23264,142,116,27,Fat Burn,58187272906
78,0.0,174,142,0,Cardio,58187272906
79,0.0,220,174,0,Peak,58187272906
80,41.18142,117,30,7,Out of Range,58250100380
81,77.336,143,117,13,Fat Burn,58250100380
82,0.0,174,143,0,Cardio,58250100380
83,0.0,220,174,0,Peak,58250100380
84,47.17496,118,30,8,Out of Range,58258245584
85,89.51642000000001,143,118,15,Fat Burn,58258245584
86,0.0,175,143,0,Cardio,58258245584
87,0.0,220,175,0,Peak,58258245584
88,76.56264,117,30,13,Out of Range,58279167874
89,48.91502,143,117,8,Fat Burn,58279167874
90,0.0,174,143,0,Cardio,58279167874
91,0.0,220,174,0,Peak,58279167874
92,95.89663999999999,119,30,17,Out of Range,58322392226
93,3.67346,144,119,1,Fat Burn,58322392226
94,0.0,175,144,0,Cardio,58322392226
95,0.0,220,175,0,Peak,58322392226
96,92.22318000000001,117,30,15,Out of Range,58386657051
97,34.22118,142,117,6,Fat Burn,58386657051
98,0.0,174,142,0,Cardio,58386657051
99,0.0,220,174,0,Peak,58386657051
100,87.003,117,30,15,Out of Range,58408015391
101,105.08029,143,117,18,Fat Burn,58408015391
102,0.0,174,143,0,Cardio,58408015391
103,0.0,220,174,0,Peak,58408015391
104,17.400600000000026,116,30,2,Out of Range,58652856333
105,140.65484999999998,142,116,21,Fat Burn,58652856333
106,0.0,174,142,0,Cardio,58652856333
107,0.0,220,174,0,Peak,58652856333
108,-2.842170943040401e-14,116,30,0,Out of Range,58664212329
109,48.33500000000001,142,116,7,Fat Burn,58664212329
110,121.99754000000001,174,142,13,Cardio,58664212329
111,0.0,220,174,0,Peak,58664212329
112,47.17496000000001,116,30,7,Out of Range,58710612061
113,79.84942,142,116,13,Fat Burn,58710612061
114,0.0,174,142,0,Cardio,58710612061
115,0.0,220,174,0,Peak,58710612061
116,0.0,116,30,0,Out of Range,59045208079
117,40.26594000000001,142,116,6,Fat Burn,59045208079
118,106.73364,173,142,11,Cardio,59045208079
119,0.0,220,173,0,Peak,59045208079
120,77.25665999999998,116,30,15,Out of Range,59090987107
121,47.39436,142,116,8,Fat Burn,59090987107
122,0.0,173,142,0,Cardio,59090987107
123,0.0,220,173,0,Peak,59090987107
124,7.41740999999999,115,30,2,Out of Range,59200087607
125,35.160450000000004,141,115,5,Fat Burn,59200087607
126,110.00886,173,141,11,Cardio,59200087607
127,0.0,220,173,0,Peak,59200087607
128,0.0,114,30,0,Out of Range,59304311491
129,8.76603,140,114,1,Fat Burn,59304311491
130,153.26103,173,140,16,Cardio,59304311491
131,0.0,220,173,0,Peak,59304311491
132,2.842170943040401e-14,114,30,0,Out of Range,59376717696
133,16.76142,140,114,2,Fat Burn,59376717696
134,132.83907,173,140,14,Cardio,59376717696
135,0.0,220,173,0,Peak,59376717696
136,0.0,113,30,0,Out of Range,59439521153
137,9.34401,140,113,1,Fat Burn,59439521153
138,141.41244,173,140,15,Cardio,59439521153
