,date,duration_ms,efficiency,start_time,end_time,time_in_bed,minutes_asleep,minutesToFallAsleep,minutes_awake,log_id,info_code,IsMainSleep,deep_sleep_count,deep_sleep_minutes,deep_sleep_30dayAvgMin,light_sleep_count,light_sleep_minutes,light_sleep_30dayAvgMin,rem_sleep_count,rem_sleep_minutes,rem_sleep_30dayAvgMin,wake_count,wake_minutes,wake_30dayAvgMin
0,2023-02-21,32100000,94,2023-02-20T22:48:30.000,2023-02-21T07:44:00.000,535,477,0,58,40289121275,0,True,7.0,123.0,0.0,27.0,255.0,0.0,9.0,99.0,0.0,27.0,58.0,0.0
1,2023-02-22,29340000,96,2023-02-22T00:22:30.000,2023-02-22T08:31:30.000,489,424,0,65,40300633545,0,True,4.0,65.0,123.0,28.0,282.0,255.0,8.0,77.0,99.0,26.0,65.0,58.0
2,2023-02-23,25980000,94,2023-02-22T23:47:30.000,2023-02-23T07:00:30.000,433,361,0,72,40311984171,0,True,5.0,98.0,94.0,20.0,166.0,269.0,6.0,97.0,88.0,20.0,72.0,62.0
3,2023-02-24,35640000,95,2023-02-23T21:31:30.000,2023-02-24T07:25:30.000,594,508,0,86,40322623167,0,True,5.0,93.0,95.0,37.0,345.0,234.0,7.0,70.0,91.0,31.0,86.0,65.0
4,2023-02-25,24720000,95,2023-02-25T01:22:30.000,2023-02-25T08:15:00.000,412,346,0,66,40341026728,0,True,3.0,82.0,95.0,30.0,218.0,262.0,5.0,46.0,86.0,30.0,66.0,70.0
5,2023-02-26,29280000,98,2023-02-25T23:09:00.000,2023-02-26T07:17:00.000,488,426,0,62,40352022371,0,True,3.0,115.0,92.0,30.0,223.0,253.0,4.0,88.0,78.0,28.0,62.0,69.0
6,2023-02-27,30420000,94,2023-02-26T22:45:30.000,2023-02-27T07:13:00.000,507,451,0,56,40365437357,0,True,5.0,110.0,96.0,21.0,240.0,248.0,11.0,101.0,80.0,27.0,56.0,68.0
7,2023-02-28,36360000,91,2023-02-27T22:36:30.000,2023-02-28T08:43:00.000,606,518,0,88,40373888165,0,True,3.0,111.0,98.0,24.0,283.0,247.0,8.0,124.0,83.0,22.0,88.0,66.0
8,2023-03-01,26940000,94,2023-03-01T00:36:30.000,2023-03-01T08:06:00.000,449,371,0,78,40391802089,0,True,3.0,111.0,100.0,23.0,194.0,252.0,5.0,66.0,88.0,21.0,78.0,69.0
9,2023-03-02,35100000,94,2023-03-01T21:44:00.000,2023-03-02T07:29:30.000,585,507,0,78,40406772836,0,True,4.0,88.0,101.0,34.0,333.0,245.0,10.0,86.0,85.0,36.0,78.0,70.0
10,2023-03-03,15600000,98,2023-03-02T23:14:00.000,2023-03-03T03:34:00.000,260,229,0,31,40417164306,0,True,4.0,56.0,100.0,18.0,149.0,254.0,4.0,24.0,85.0,15.0,31.0,71.0
11,2023-03-04,24360000,97,2023-03-04T01:15:00.000,2023-03-04T08:01:30.000,406,357,0,49,40429165165,0,True,3.0,38.0,96.0,29.0,262.0,244.0,5.0,57.0,80.0,26.0,49.0,67.0
12,2023-03-05,32400000,95,2023-03-04T22:26:00.000,2023-03-05T07:26:30.000,540,488,0,52,40440110956,0,True,6.0,104.0,91.0,28.0,270.0,246.0,8.0,114.0,78.0,25.0,52.0,66.0
13,2023-03-06,31080000,94,2023-03-05T22:49:00.000,2023-03-06T07:27:30.000,518,446,0,72,40457438636,0,True,8.0,79.0,92.0,35.0,301.0,248.0,6.0,66.0,81.0,30.0,72.0,65.0
14,2023-03-07,34860000,87,2023-03-06T22:30:00.000,2023-03-07T08:11:00.000,581,508,0,73,40473420800,0,True,4.0,78.0,91.0,25.0,333.0,252.0,9.0,97.0,80.0,27.0,73.0,65.0
15,2023-03-08,31500000,93,2023-03-07T22:46:30.000,2023-03-08T07:31:30.000,525,455,0,70,40488178119,0,True,5.0,97.0,90.0,28.0,254.0,257.0,9.0,104.0,81.0,24.0,70.0,66.0
16,2023-03-09,32580000,92,2023-03-08T22:30:30.000,2023-03-09T07:33:30.000,543,476,0,67,40497812222,0,True,5.0,122.0,91.0,17.0,223.0,257.0,6.0,131.0,82.0,14.0,67.0,66.0
17,2023-03-10,27600000,97,2023-03-09T23:47:30.000,2023-03-10T07:27:30.000,460,404,0,56,40514827381,0,True,4.0,85.0,92.0,34.0,242.0,255.0,9.0,77.0,85.0,33.0,56.0,66.0
18,2023-03-11,25140000,97,2023-03-11T01:18:30.000,2023-03-11T08:17:30.000,419,365,0,54,40527592661,0,True,4.0,63.0,92.0,33.0,242.0,254.0,6.0,60.0,85.0,32.0,54.0,66.0
19,2023-03-11,3600000,92,2023-03-11T14:24:00.000,2023-03-11T15:24:00.000,60,55,0,5,40530568378,2,False,,,,,,,,,,,,
20,2023-03-12,22080000,95,2023-03-12T03:00:00.000,2023-03-12T09:08:00.000,368,327,0,41,40539298187,0,True,2.0,91.0,90.0,20.0,181.0,253.0,4.0,55.0,83.0,22.0,41.0,65.0
21,2023-03-13,30060000,92,2023-03-13T00:06:30.000,2023-03-13T08:28:00.000,501,435,0,66,40548263686,0,True,7.0,118.0,90.0,26.0,202.0,250.0,13.0,115.0,82.0,28.0,66.0,64.0
