,date,duration_ms,efficiency,start_time,end_time,time_in_bed,minutes_asleep,minutesToFallAsleep,minutes_awake,log_id,info_code,IsMainSleep,deep_sleep_count,deep_sleep_minutes,deep_sleep_30dayAvgMin,light_sleep_count,light_sleep_minutes,light_sleep_30dayAvgMin,rem_sleep_count,rem_sleep_minutes,rem_sleep_30dayAvgMin,wake_count,wake_minutes,wake_30dayAvgMin
0,2023-05-24,36300000,95,2023-05-23T23:06:00.000,2023-05-24T09:11:00.000,605,531,0,74,41455421627,0,True,5.0,135.0,0.0,34.0,254.0,0.0,17.0,142.0,0.0,40.0,74.0,0.0
1,2023-05-25,28500000,92,2023-05-25T00:27:30.000,2023-05-25T08:22:30.000,475,403,0,72,41464080913,0,True,3.0,107.0,135.0,21.0,221.0,254.0,8.0,75.0,142.0,24.0,72.0,74.0
2,2023-05-26,33540000,95,2023-05-25T23:20:30.000,2023-05-26T08:40:00.000,559,482,0,77,41477110812,0,True,6.0,107.0,121.0,24.0,273.0,238.0,11.0,102.0,109.0,22.0,77.0,73.0
3,2023-05-27,30240000,97,2023-05-26T23:38:30.000,2023-05-27T08:02:30.000,504,460,0,44,41491746764,0,True,5.0,81.0,116.0,29.0,286.0,249.0,4.0,93.0,106.0,27.0,44.0,74.0
4,2023-05-28,19740000,89,2023-05-28T01:39:00.000,2023-05-28T07:08:30.000,329,278,0,51,41502870808,0,True,3.0,74.0,108.0,14.0,133.0,259.0,6.0,71.0,103.0,17.0,51.0,67.0
5,2023-05-29,36000000,91,2023-05-28T23:34:30.000,2023-05-29T09:34:30.000,600,527,0,73,41511930230,0,True,4.0,123.0,101.0,30.0,266.0,233.0,14.0,138.0,97.0,32.0,73.0,64.0
6,2023-05-30,30060000,94,2023-05-29T23:54:00.000,2023-05-30T08:15:30.000,501,443,0,58,41522890081,0,True,3.0,113.0,105.0,31.0,261.0,239.0,8.0,69.0,104.0,32.0,58.0,65.0
7,2023-05-31,14220000,96,2023-05-30T23:00:00.000,2023-05-31T02:57:00.000,237,214,0,23,41534186767,0,False,2.0,41.0,106.0,9.0,142.0,242.0,3.0,31.0,99.0,9.0,23.0,64.0
8,2023-05-31,18540000,97,2023-05-31T04:02:00.000,2023-05-31T09:11:00.000,309,273,0,36,41539858443,0,True,3.0,37.0,106.0,22.0,167.0,242.0,7.0,69.0,99.0,20.0,36.0,64.0
9,2023-06-01,29640000,92,2023-05-31T23:39:00.000,2023-06-01T07:53:30.000,494,407,0,87,41549979464,0,True,4.0,88.0,102.0,24.0,227.0,250.0,9.0,92.0,99.0,21.0,87.0,64.0
