,activity_type,minutes,log_Id
0,sedentary,2,54655710797
1,lightly,13,54655710797
2,fairly,0,54655710797
3,very,0,54655710797
4,sedentary,2,54851970100
5,lightly,8,54851970100
6,fairly,5,54851970100
7,very,5,54851970100
8,sedentary,0,55124576266
9,lightly,1,55124576266
10,fairly,18,55124576266
11,very,39,55124576266
12,sedentary,1,55592808773
13,lightly,0,55592808773
14,fairly,7,55592808773
15,very,8,55592808773
16,sedentary,0,55675716016
17,lightly,1,55675716016
18,fairly,7,55675716016
19,very,7,55675716016
20,sedentary,0,55842154404
21,lightly,2,55842154404
22,fairly,9,55842154404
23,very,5,55842154404
24,sedentary,3,55857291512
25,lightly,17,55857291512
26,fairly,0,55857291512
27,very,0,55857291512
28,sedentary,0,56036220877
29,lightly,2,56036220877
30,fairly,6,56036220877
31,very,40,56036220877
32,sedentary,0,56152054605
33,lightly,2,56152054605
34,fairly,13,56152054605
35,very,0,56152054605
36,sedentary,0,56506834191
37,lightly,6,56506834191
38,fairly,14,56506834191
39,very,3,56506834191
40,sedentary,0,56953526757
41,lightly,7,56953526757
42,fairly,9,56953526757
43,very,0,56953526757
44,sedentary,0,57468894445
45,lightly,17,57468894445
46,fairly,0,57468894445
47,very,0,57468894445
48,sedentary,0,57469906532
49,lightly,0,57469906532
50,fairly,15,57469906532
51,very,2,57469906532
52,sedentary,0,57764003378
53,lightly,0,57764003378
54,fairly,3,57764003378
55,very,14,57764003378
56,sedentary,0,57797492866
57,lightly,0,57797492866
58,fairly,5,57797492866
59,very,15,57797492866
60,sedentary,0,57813818940
61,lightly,0,57813818940
62,fairly,1,57813818940
63,very,21,57813818940
64,sedentary,0,58040851310
65,lightly,0,58040851310
66,fairly,7,58040851310
67,very,15,58040851310
68,sedentary,0,58087797862
69,lightly,0,58087797862
70,fairly,3,58087797862
71,very,17,58087797862
72,sedentary,0,58128772580
73,lightly,0,58128772580
74,fairly,3,58128772580
75,very,18,58128772580
76,sedentary,0,58187272906
77,lightly,0,58187272906
78,fairly,1,58187272906
79,very,37,58187272906
80,sedentary,1,58250100380
81,lightly,0,58250100380
82,fairly,2,58250100380
83,very,17,58250100380
84,sedentary,0,58258245584
85,lightly,0,58258245584
86,fairly,3,58258245584
87,very,20,58258245584
88,sedentary,0,58279167874
89,lightly,0,58279167874
90,fairly,3,58279167874
91,very,18,58279167874
92,sedentary,0,58322392226
93,lightly,3,58322392226
94,fairly,9,58322392226
95,very,7,58322392226
96,sedentary,0,58386657051
97,lightly,1,58386657051
98,fairly,7,58386657051
99,very,14,58386657051
100,sedentary,1,58408015391
101,lightly,0,58408015391
102,fairly,8,58408015391
103,very,24,58408015391
104,sedentary,0,58652856333
105,lightly,0,58652856333
106,fairly,2,58652856333
107,very,22,58652856333
108,sedentary,0,58664212329
109,lightly,1,58664212329
110,fairly,0,58664212329
111,very,19,58664212329
112,sedentary,0,58710612061
113,lightly,0,58710612061
114,fairly,3,58710612061
115,very,18,58710612061
116,sedentary,0,59045208079
117,lightly,0,59045208079
118,fairly,0,59045208079
119,very,15,59045208079
120,sedentary,0,59090987107
