,date,duration_ms,efficiency,start_time,end_time,time_in_bed,minutes_asleep,minutesToFallAsleep,minutes_awake,log_id,info_code,IsMainSleep,deep_sleep_count,deep_sleep_minutes,deep_sleep_30dayAvgMin,light_sleep_count,light_sleep_minutes,light_sleep_30dayAvgMin,rem_sleep_count,rem_sleep_minutes,rem_sleep_30dayAvgMin,wake_count,wake_minutes,wake_30dayAvgMin
0,2023-08-17,30360000,92,2023-08-16T23:43:30.000,2023-08-17T08:09:30.000,506,422,0,84,42453596307,0,True,4.0,71.0,0.0,42.0,307.0,0.0,3.0,44.0,0.0,41.0,84.0,0.0
1,2023-08-18,37500000,90,2023-08-17T21:45:00.000,2023-08-18T08:10:00.000,625,521,0,104,42466654167,0,True,8.0,106.0,71.0,42.0,324.0,307.0,8.0,91.0,44.0,33.0,104.0,84.0
2,2023-08-19,34980000,95,2023-08-18T22:38:30.000,2023-08-19T08:21:30.000,583,498,0,85,42479874849,0,True,4.0,88.0,89.0,39.0,309.0,316.0,14.0,101.0,68.0,41.0,85.0,94.0
3,2023-08-20,33180000,96,2023-08-19T22:57:00.000,2023-08-20T08:10:30.000,553,484,0,69,42489845737,0,True,5.0,94.0,88.0,30.0,272.0,313.0,10.0,118.0,79.0,32.0,69.0,91.0
4,2023-08-21,31740000,91,2023-08-20T22:00:00.000,2023-08-21T06:49:30.000,529,427,0,102,42500433057,0,True,5.0,67.0,90.0,24.0,295.0,303.0,8.0,65.0,89.0,23.0,102.0,86.0
5,2023-08-22,35160000,89,2023-08-21T21:20:30.000,2023-08-22T07:06:30.000,586,527,0,59,42506382825,0,True,4.0,68.0,85.0,31.0,345.0,301.0,12.0,114.0,84.0,32.0,59.0,89.0
6,2023-08-23,36300000,95,2023-08-22T22:17:00.000,2023-08-23T08:22:30.000,605,524,0,81,42524142659,0,True,3.0,79.0,82.0,36.0,345.0,309.0,9.0,100.0,89.0,37.0,81.0,84.0
7,2023-08-24,30660000,88,2023-08-23T22:08:00.000,2023-08-24T06:39:30.000,511,421,0,90,42534533357,0,True,5.0,95.0,82.0,30.0,242.0,314.0,13.0,84.0,90.0,33.0,90.0,83.0
8,2023-08-25,37920000,93,2023-08-24T21:15:30.000,2023-08-25T07:47:30.000,632,551,0,81,42545695411,0,True,5.0,112.0,84.0,34.0,315.0,305.0,14.0,124.0,90.0,38.0,81.0,84.0
9,2023-08-26,32460000,93,2023-08-25T22:53:30.000,2023-08-26T07:55:00.000,541,469,0,72,42556193083,0,True,4.0,67.0,87.0,35.0,331.0,306.0,5.0,71.0,93.0,30.0,72.0,84.0
10,2023-08-27,33600000,98,2023-08-26T22:44:30.000,2023-08-27T08:04:30.000,560,489,0,71,42567427013,0,True,4.0,90.0,85.0,32.0,272.0,309.0,15.0,127.0,91.0,37.0,71.0,83.0
11,2023-08-28,34020000,87,2023-08-27T21:02:30.000,2023-08-28T06:29:30.000,567,477,0,90,42572057191,0,True,5.0,80.0,85.0,27.0,293.0,305.0,9.0,104.0,94.0,24.0,90.0,82.0
12,2023-08-29,36420000,91,2023-08-28T21:31:00.000,2023-08-29T07:38:30.000,607,494,0,113,42591373515,0,True,4.0,87.0,85.0,36.0,355.0,304.0,6.0,52.0,95.0,36.0,113.0,82.0
13,2023-08-30,27780000,98,2023-08-29T23:37:00.000,2023-08-30T07:20:00.000,463,387,0,76,42601065570,0,True,4.0,66.0,85.0,35.0,256.0,308.0,7.0,65.0,92.0,33.0,76.0,85.0
14,2023-08-31,30000000,96,2023-08-30T22:40:30.000,2023-08-31T07:00:30.000,500,438,0,62,42613881143,0,True,7.0,94.0,84.0,25.0,234.0,304.0,13.0,110.0,90.0,27.0,62.0,84.0
15,2023-09-01,34140000,94,2023-08-31T22:13:00.000,2023-09-01T07:42:30.000,569,477,0,92,42625248038,0,True,3.0,89.0,84.0,26.0,310.0,300.0,10.0,78.0,91.0,21.0,92.0,83.0
16,2023-09-02,28380000,98,2023-09-01T23:46:00.000,2023-09-02T07:39:30.000,473,410,0,63,42635749455,0,True,2.0,101.0,85.0,17.0,220.0,300.0,5.0,89.0,91.0,18.0,63.0,83.0
17,2023-09-03,29040000,93,2023-09-02T23:49:00.000,2023-09-03T07:53:30.000,484,404,0,80,42646458409,0,True,5.0,103.0,86.0,25.0,240.0,296.0,7.0,61.0,90.0,25.0,80.0,82.0
18,2023-09-03,5400000,97,2023-09-03T14:16:30.000,2023-09-03T15:47:00.000,90,87,0,3,42649312841,2,False,,,,,,,,,,,,
19,2023-09-04,28620000,96,2023-09-03T23:20:00.000,2023-09-04T07:17:30.000,477,420,0,57,42657954541,0,True,3.0,26.0,87.0,26.0,285.0,293.0,3.0,109.0,89.0,21.0,57.0,82.0
20,2023-09-05,36360000,92,2023-09-04T21:34:30.000,2023-09-05T07:40:30.000,606,514,0,92,42664281367,0,True,4.0,96.0,83.0,33.0,344.0,292.0,11.0,74.0,90.0,35.0,92.0,81.0
21,2023-09-06,28140000,94,2023-09-05T22:41:00.000,2023-09-06T06:30:30.000,469,375,0,94,42679320686,0,True,6.0,106.0,84.0,27.0,250.0,295.0,2.0,19.0,89.0,26.0,94.0,81.0
22,2023-09-07,31500000,90,2023-09-06T21:42:00.000,2023-09-07T06:27:30.000,525,446,0,79,42692179806,0,True,5.0,88.0,85.0,27.0,279.0,293.0,11.0,79.0,86.0,29.0,79.0,82.0
